Q4 2022	ChatGPT 3.5	OpenAI	2022-11-30
Q1 2023	Bing Chat	Microsoft	2023-02-07
Q1 2023	LLaMA	Meta	2023-02-24
Q1 2023	GPT 4	OpenAI	2023-03-14
Q1 2023	Claude	Anthropic	2023-03-14
Q2 2023	PaLM 2	Google	2023-05-10
Q3 2023	Claude 2	Anthropic	2023-07-11
Q3 2023	LLaMA 2	Meta	2023-07-18
Q3 2023	Copilot	Microsoft	2023-09-21
Q4 2023	Grok	xAI	2023-11-04
Q4 2023	GPT 4 Turbo	OpenAI	2023-11-06
Q4 2023	Gemini	Google	2023-12-06
Q1 2024	Gemini 1.5	Google	2024-02-15
Q1 2024	Sora	OpenAI	2024-02-15
Q1 2024	Claude 3	Anthropic	2024-03-04
Q2 2024	LLaMA 3	Meta	2024-04-18
Q2 2024	GPT-4o	OpenAI	2024-05-13
Q2 2024	Claude 3.5	Anthropic	2024-06-20
Q3 2024	LLaMA 3 (405B)	Meta	2024-07-23
Q3 2024	o1	OpenAI	2024-09-12
Q4 2024	Gemini 2	Google	2024-12-11
Q4 2024	Google Veo 2	Google	2024-12-16
Q4 2024	o3	OpenAI	2024-12-20
Q4 2024	DeepSeek V3	DeepSeek	2024-12-26
Q1 2025	DeepSeek R1	DeepSeek	2025-01-20
Q1 2025	Grok 3	xAI	2025-02-17
Q2 2025	LLaMA 4	Meta	2025-04-05
Q2 2025	GPT 4.1	OpenAI	2025-04-14
Q2 2025	o4	OpenAI	2025-04-16
Q2 2025	Claude 4	Anthropic	2025-05-22
Q3 2025	Grok 4	xAI	2025-07-09
Q3 2025	Kimi K2	Moonshot	2025-07-11
Q3 2025	Qwen3-235B	Alibaba	2025-07-25
Q3 2025	GLM-4.5	Zhipu AI	2025-07-28
Q3 2025	GPT-5	OpenAI	2025-08-07
Q3 2025	Qwen3-Max	Alibaba	2025-09-05
Q3 2025	Qwen3-Next	Alibaba	2025-09-11
Q3 2025	Claude Sonnet 4.5	Anthropic	2025-09-29
Q3 2025	DeepSeek V3.2-Exp	DeepSeek	2025-09-29
Q3 2025	Sora 2	OpenAI	2025-09-30
Q4 2025	Claude Haiku 4.5	Anthropic	2025-10-15
Q4 2025	Kimi K2 Thinking	Moonshot	2025-11-06
Q4 2025	GPT-5.1	OpenAI	2025-11-12
Q4 2025	Grok 4.1	xAI	2025-11-17
Q4 2025	Gemini 3 Pro	Google	2025-11-18
Q4 2025	Claude Opus 4.5	Anthropic	2025-11-24
Q4 2025	LLaMA 4.x (planned)	Meta	
